pathway	definition	list
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	K00568|K01661|K01911|K02361|K02548|K02549|K02551|K02552|K03179|K03181|K03182|K03183|K03184|K03185|K03186|K03809|K08680|K18800|K19222
map00140	Steroid hormone biosynthesis	K01130
map00190	Oxidative phosphorylation	K00239|K00240|K00241|K00242|K00244|K00245|K00246|K00247|K00330|K00331|K00334|K00335|K00336|K00337|K00338|K00339|K00340|K00341|K00342|K00343|K00424|K00425|K00426|K00937|K01507|K02108|K02109|K02110|K02111|K02112|K02113|K02114|K02115|K02257|K02297|K02298|K02299|K02300|K03885|K13378
map00195	Photosynthesis	K02108|K02109|K02110|K02111|K02112|K02113|K02114|K02115
map00220	Arginine biosynthesis	K00145|K00262|K00611|K00813|K00821|K00926|K00930|K01425|K01438|K01755|K01915|K01940|K14260|K14682
map00230	Purine metabolism	K00087|K00088|K00364|K00525|K00526|K00602|K00759|K00760|K00764|K00769|K00860|K00873|K00892|K00926|K00939|K00940|K00942|K00948|K00951|K00956|K00957|K00962|K01119|K01129|K01139|K01241|K01486|K01487|K01488|K01515|K01524|K01525|K01588|K01589|K01756|K01835|K01839|K01923|K01933|K01939|K01945|K01951|K01952|K02335|K02337|K02338|K02339|K02340|K02341|K02342|K02343|K02344|K02345|K02428|K03040|K03043|K03046|K03060|K03651|K03784|K03787|K03815|K04765|K05851|K06966|K07127|K08289|K08312|K08723|K09913|K11175|K11751|K13479|K13480|K20881|K21636
map00240	Pyrimidine metabolism	K00254|K00525|K00526|K00560|K00609|K00610|K00757|K00758|K00761|K00762|K00857|K00876|K00940|K00943|K00945|K00962|K01119|K01464|K01465|K01489|K01494|K01520|K01591|K01937|K01955|K01956|K02335|K02337|K02338|K02339|K02340|K02341|K02342|K02343|K02344|K02345|K03040|K03043|K03046|K03060|K03784|K03787|K04765|K06966|K08722|K08723|K09903|K09913|K11751|K16066|K16328|K16329|K17722|K17723|K20881|K21636
map00250	Alanine, aspartate and glutamate metabolism	K00135|K00262|K00265|K00266|K00278|K00609|K00610|K00764|K00813|K00820|K00823|K01424|K01425|K01580|K01744|K01755|K01756|K01779|K01914|K01915|K01939|K01940|K01953|K01955|K01956|K07250|K08324|K13566|K13821|K14260
map00260	Glycine, serine and threonine metabolism	K00058|K00060|K00090|K00133|K00281|K00382|K00600|K00605|K00639|K00831|K00865|K00872|K00928|K00998|K01079|K01620|K01695|K01696|K01733|K01752|K01753|K01754|K01834|K02437|K12524|K12525|K12972|K15633|K15634|K16066
map00261	Monobactam biosynthesis	K00133|K00215|K00928|K00956|K00957|K01714|K12524|K12525
map00270	Cysteine and methionine metabolism	K00016|K00024|K00133|K00548|K00549|K00558|K00640|K00651|K00789|K00797|K00813|K00826|K00832|K00928|K01011|K01243|K01611|K01738|K01739|K01752|K01760|K01919|K01920|K05396|K07173|K08968|K12339|K12524|K12525|K14155
map00280	Valine, leucine and isoleucine degradation	K00382|K00626|K00632|K00826|K01782|K01825|K01847|K07250
map00281	Geraniol degradation	K00632|K01782|K01825
map00290	Valine, leucine and isoleucine biosynthesis	K00052|K00053|K00826|K00835|K01649|K01652|K01653|K01687|K01703|K01704|K01754|K11258|K14260
map00300	Lysine biosynthesis	K00133|K00215|K00674|K00821|K00928|K01439|K01586|K01714|K01778|K01928|K01929|K12524|K12525
map00310	Lysine degradation	K00135|K00164|K00626|K00658|K01034|K01035|K01582|K01782|K01825
map00330	Arginine and proline metabolism	K00137|K00147|K00286|K00657|K00673|K00797|K00813|K00840|K00931|K01480|K01484|K01581|K01584|K01585|K01611|K05526|K06447|K09251|K09470|K09471|K09472|K09473|K13821
map00332	Carbapenem biosynthesis	K00147|K00931
map00333	Prodigiosin biosynthesis	K00059|K00208|K00645
map00340	Histidine metabolism	K00013|K00765|K00817|K01089|K01814|K02500|K02501|K11755
map00350	Tyrosine metabolism	K00121|K00135|K00450|K00813|K00817|K00832|K01801|K04072|K13953|K13954|K16165
map00360	Phenylalanine metabolism	K00285|K00813|K00817|K00832|K01451|K03782
map00361	Chlorocyclohexane and chlorobenzene degradation	K01061
map00362	Benzoate degradation	K00626|K00632|K01782|K01821|K01825|K22270
map00364	Fluorobenzoate degradation	K01061
map00380	Tryptophan metabolism	K00164|K00626|K01667|K01782|K01825|K03782
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	K00014|K00800|K00813|K00817|K00832|K00891|K01626|K01657|K01695|K01696|K01735|K01736|K03785|K05887|K13497|K13498|K14170|K14187
map00401	Novobiocin biosynthesis	K00813|K00817|K00832|K14187
map00405	Phenazine biosynthesis	K01657
map00410	beta-Alanine metabolism	K00137|K00797|K00823|K01464|K01579|K01580|K01782|K01825|K01918|K07250|K17722|K17723
map00430	Taurine and hypotaurine metabolism	K00681|K00925|K01580|K03119|K13788
map00440	Phosphonate and phosphinate metabolism	K00968|K03823
map00450	Selenocompound metabolism	K00384|K00548|K00549|K00956|K00957|K01008|K01042|K01739|K01760|K01874|K07309|K07310|K11717|K12527|K12528|K12529|K14155
map00460	Cyanoamino acid metabolism	K00600|K00681|K01424|K01914|K05349
map00471	D-Glutamine and D-glutamate metabolism	K01425|K01776|K01924|K01925
map00473	D-Alanine metabolism	K01775|K01921
map00480	Glutathione metabolism	K00031|K00033|K00036|K00383|K00432|K00681|K00797|K00799|K01255|K01256|K01270|K01460|K01581|K01919|K01920|K07232|K07751
map00500	Starch and sucrose metabolism	K00688|K00697|K00700|K00703|K00705|K00845|K00847|K00963|K00975|K01087|K01176|K01187|K01194|K01222|K01223|K01226|K01232|K01810|K01835|K02438|K02750|K02759|K02760|K02761|K02777|K02791|K02819|K05349
map00511	Other glycan degradation	K01190|K12111|K12112
map00520	Amino sugar and nucleotide sugar metabolism	K00012|K00075|K00790|K00820|K00845|K00847|K00849|K00884|K00885|K00963|K00965|K00971|K00975|K01207|K01443|K01639|K01711|K01784|K01788|K01791|K01809|K01810|K01835|K01840|K02377|K02472|K02564|K02777|K02779|K02791|K02794|K02795|K02796|K02804|K03431|K04042|K07106|K07806|K10011|K10012|K11192|K13014
map00521	Streptomycin biosynthesis	K00067|K00845|K00973|K01092|K01710|K01790|K01835
map00523	Polyketide sugar unit biosynthesis	K00067|K00973|K01710|K01790
map00524	Neomycin, kanamycin and gentamicin biosynthesis	K00845
map00525	Acarbose and validamycin biosynthesis	K00973|K01710
map00531	Glycosaminoglycan degradation	K01207
map00540	Lipopolysaccharide biosynthesis	K00677|K00748|K00912|K00979|K01627|K02517|K02527|K02535|K02536|K02560|K02840|K02841|K02843|K02844|K02847|K02848|K02849|K02850|K03269|K03270|K03271|K03272|K03273|K03274|K03275|K03276|K03280|K06041|K12975|K12981|K19353
map00550	Peptidoglycan biosynthesis	K00075|K00790|K01000|K01921|K01924|K01925|K01928|K01929|K02563|K03587|K03814|K05365|K05366|K05367|K05515|K06153|K07258|K07259|K19302|K21469
map00561	Glycerolipid metabolism	K00005|K00631|K00655|K00864|K00865|K00901|K03621|K05878|K05879|K05881|K08591
map00562	Inositol phosphate metabolism	K01092|K01093|K01803|K16044
map00564	Glycerophospholipid metabolism	K00057|K00111|K00112|K00113|K00631|K00655|K00901|K00968|K00981|K00995|K00998|K01048|K01058|K01095|K01096|K01126|K01521|K01613|K03621|K03735|K03736|K04019|K05939|K06131|K06132|K08591|K18697
map00565	Ether lipid metabolism	K01058
map00590	Arachidonic acid metabolism	K00432|K01058
map00591	Linoleic acid metabolism	K00508|K01058
map00592	alpha-Linolenic acid metabolism	K00632|K01058
map00600	Sphingolipid metabolism	K01130|K01190
map00620	Pyruvate metabolism	K00016|K00024|K00027|K00029|K00090|K00101|K00116|K00138|K00156|K00163|K00244|K00245|K00246|K00247|K00382|K00626|K00627|K00656|K00873|K00925|K01007|K01026|K01069|K01512|K01595|K01610|K01638|K01649|K01676|K01679|K01759|K01895|K01961|K01962|K01963|K02160|K03737|K03777|K03778|K04020|K04021|K04072|K05523|K12972|K13788
map00621	Dioxin degradation	K01821
map00622	Xylene degradation	K01821
map00623	Toluene degradation	K01061
map00625	Chloroalkane and chloroalkene degradation	K00121|K04072|K13953|K13954
map00626	Naphthalene degradation	K00121|K04072|K13953|K13954
map00627	Aminobenzoate degradation	K01034|K01035|K01512|K01612|K03186|K19709|K21759
map00630	Glyoxylate and dicarboxylate metabolism	K00024|K00042|K00048|K00090|K00104|K00123|K00124|K00127|K00281|K00382|K00600|K00605|K00626|K00865|K01091|K01433|K01608|K01625|K01637|K01638|K01647|K01681|K01682|K01816|K01847|K01895|K01915|K02437|K03779|K03780|K07246|K11472|K11473|K12972
map00633	Nitrotoluene degradation	K06281|K06282|K10678|K10679|K10680
map00640	Propanoate metabolism	K00005|K00016|K00048|K00382|K00626|K00656|K00823|K00925|K00932|K01026|K01034|K01035|K01659|K01682|K01699|K01720|K01734|K01782|K01825|K01847|K01895|K01902|K01903|K01908|K01961|K01962|K01963|K02160|K03417|K07250|K08325|K11264|K13788|K13919|K13920|K13921|K13923|K19709|K19745|K22214
map00642	Ethylbenzene degradation	K00632
map00643	Styrene degradation	K01026
map00650	Butanoate metabolism	K00135|K00239|K00240|K00241|K00242|K00244|K00245|K00246|K00247|K00626|K00656|K00823|K01034|K01035|K01580|K01652|K01653|K01715|K01782|K01825|K03737|K04072|K07246|K07250|K08324|K11258|K19709
map00660	C5-Branched dibasic acid metabolism	K00052|K01652|K01653|K01703|K01704|K01902|K01903|K11258
map00670	One carbon pool by folate	K00287|K00297|K00548|K00560|K00600|K00602|K00604|K00605|K01433|K01491|K01934|K08289|K11175|K13938
map00680	Methane metabolism	K00024|K00058|K00121|K00123|K00124|K00127|K00600|K00831|K00850|K00925|K01007|K01070|K01079|K01595|K01624|K01689|K01834|K01895|K02446|K03841|K11645|K13788|K15633|K15634|K16370
map00710	Carbon fixation in photosynthetic organisms	K00024|K00029|K00134|K00615|K00855|K00927|K01595|K01610|K01624|K01783|K01803|K01807|K01808|K02446|K03841|K11645
map00720	Carbon fixation pathways in prokaryotes	K00024|K00031|K00239|K00240|K00241|K00242|K00244|K00245|K00246|K00247|K00297|K00626|K00925|K01007|K01491|K01595|K01676|K01679|K01681|K01682|K01847|K01895|K01902|K01903|K01961|K01962|K01963|K02160|K03737|K13788
map00730	Thiamine metabolism	K00788|K00878|K00939|K00941|K00946|K01077|K01662|K03147|K03148|K03149|K03150|K03151|K04487|K06949|K07251
map00740	Riboflavin metabolism	K00793|K00794|K01093|K01497|K02858|K03788|K05368|K11752|K11753|K20861|K20862
map00750	Vitamin B6 metabolism	K00097|K00275|K00831|K00868|K01733|K03472|K03473|K03474|K05275
map00760	Nicotinate and nicotinamide metabolism	K00135|K00278|K00322|K00324|K00325|K00763|K00767|K00858|K00969|K01916|K03426|K03517|K03743|K03784|K03787|K04765|K06211|K08281|K08324|K08723|K11751|K20881
map00770	Pantothenate and CoA biosynthesis	K00053|K00077|K00606|K00826|K00859|K00867|K00954|K00997|K01464|K01579|K01652|K01653|K01687|K01918|K04765|K06133|K08682|K11258|K13038|K17722|K17723
map00780	Biotin metabolism	K00059|K00208|K00647|K00652|K00833|K01012|K01935|K02169|K02170|K02372|K03524|K08351|K09458
map00785	Lipoic acid metabolism	K03644|K03800|K03801
map00790	Folate biosynthesis	K00287|K00796|K00950|K01077|K01495|K01497|K01633|K01664|K01665|K01737|K02619|K03635|K03637|K03638|K03639|K03750|K03752|K03831|K06879|K06920|K07141|K07589|K08310|K10026|K11754|K13938
map00830	Retinol metabolism	K00121|K13953
map00860	Porphyrin and chlorophyll metabolism	K00228|K00230|K00768|K01599|K01698|K01719|K01749|K01772|K01845|K01885|K02226|K02231|K02233|K02257|K02302|K02492|K02495|K02496|K03594|K04032|K05368|K19221
map00900	Terpenoid backbone biosynthesis	K00099|K00626|K00795|K00806|K00919|K00991|K01662|K01770|K01823|K02523|K03526|K03527
map00903	Limonene and pinene degradation	K01782|K01825
map00908	Zeatin biosynthesis	K00791
map00910	Nitrogen metabolism	K00262|K00265|K00266|K00362|K00363|K00370|K00371|K00374|K00926|K01673|K01915|K02567|K02568|K02575|K03385|K05601
map00920	Sulfur metabolism	K00380|K00381|K00385|K00390|K00640|K00651|K00860|K00956|K00957|K01011|K01082|K01738|K01739|K02045|K02046|K02047|K02048|K02439|K03119|K07306|K07307|K07308|K08353|K08354|K10831|K15551|K15552|K16950|K16951
map00930	Caprolactam degradation	K01782|K01825
map00940	Phenylpropanoid biosynthesis	K03186|K03782|K05349
map00950	Isoquinoline alkaloid biosynthesis	K00813|K00832
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	K00813|K00817|K00832|K01582|K13607
map00965	Betalain biosynthesis	K15777
map00966	Glucosinolate biosynthesis	K01703
map00970	Aminoacyl-tRNA biosynthesis	K00604|K01042|K01866|K01867|K01868|K01869|K01870|K01872|K01873|K01874|K01875|K01876|K01878|K01879|K01881|K01883|K01885|K01886|K01887|K01889|K01890|K01892|K01893|K04567
map00980	Metabolism of xenobiotics by cytochrome P450	K00121|K00799|K13953
map00982	Drug metabolism - cytochrome P450	K00121|K00799|K13953
map00983	Drug metabolism - other enzymes	K00088|K00757|K00758|K00760|K00799|K00857|K00876|K00940|K01464|K01489|K01520|K01951|K03782
map00999	Biosynthesis of secondary metabolites - unclassified	K02078
map01040	Biosynthesis of unsaturated fatty acids	K00059|K01782|K01825|K10804|K10805|K10806
map01051	Biosynthesis of ansamycins	K00615
map01053	Biosynthesis of siderophore group nonribosomal peptides	K00216|K01252|K02361|K02362|K02363|K02364|K02552
map01054	Nonribosomal peptide structures	K01779
map01055	Biosynthesis of vancomycin group antibiotics	K01710
map01100	Metabolic pathways	K00005|K00012|K00013|K00014|K00016|K00024|K00029|K00031|K00033|K00036|K00040|K00041|K00042|K00052|K00053|K00058|K00059|K00075|K00077|K00087|K00088|K00090|K00097|K00099|K00101|K00104|K00116|K00117|K00121|K00123|K00124|K00127|K00133|K00134|K00135|K00137|K00138|K00145|K00147|K00163|K00164|K00208|K00215|K00228|K00230|K00239|K00240|K00241|K00242|K00244|K00245|K00246|K00247|K00254|K00262|K00265|K00266|K00275|K00278|K00281|K00286|K00287|K00297|K00322|K00324|K00325|K00330|K00331|K00334|K00335|K00336|K00337|K00338|K00339|K00340|K00341|K00342|K00343|K00380|K00381|K00382|K00385|K00390|K00425|K00426|K00450|K00508|K00525|K00526|K00548|K00549|K00558|K00560|K00568|K00600|K00602|K00605|K00606|K00609|K00610|K00611|K00615|K00616|K00626|K00627|K00631|K00632|K00640|K00645|K00647|K00648|K00651|K00652|K00655|K00656|K00657|K00658|K00673|K00674|K00677|K00681|K00688|K00697|K00700|K00703|K00705|K00748|K00757|K00758|K00759|K00760|K00761|K00762|K00763|K00764|K00765|K00767|K00768|K00769|K00788|K00789|K00790|K00791|K00793|K00794|K00795|K00796|K00797|K00800|K00813|K00817|K00820|K00821|K00823|K00826|K00831|K00832|K00833|K00835|K00840|K00845|K00847|K00849|K00850|K00851|K00853|K00855|K00857|K00858|K00859|K00860|K00864|K00865|K00867|K00868|K00872|K00873|K00874|K00876|K00878|K00884|K00885|K00891|K00901|K00912|K00919|K00925|K00926|K00927|K00928|K00930|K00931|K00932|K00939|K00940|K00941|K00942|K00943|K00945|K00946|K00948|K00950|K00954|K00956|K00957|K00963|K00965|K00968|K00969|K00971|K00975|K00979|K00981|K00991|K00995|K00998|K01000|K01002|K01007|K01008|K01011|K01012|K01026|K01034|K01035|K01058|K01061|K01077|K01079|K01082|K01087|K01089|K01091|K01092|K01093|K01095|K01096|K01176|K01187|K01190|K01194|K01207|K01243|K01255|K01256|K01270|K01424|K01425|K01438|K01439|K01460|K01464|K01465|K01480|K01484|K01486|K01487|K01488|K01489|K01491|K01494|K01495|K01497|K01520|K01579|K01580|K01581|K01582|K01584|K01585|K01586|K01588|K01589|K01591|K01595|K01599|K01608|K01610|K01611|K01613|K01620|K01624|K01625|K01626|K01627|K01633|K01637|K01638|K01647|K01649|K01652|K01653|K01657|K01661|K01662|K01676|K01679|K01681|K01682|K01685|K01686|K01687|K01689|K01690|K01695|K01696|K01698|K01703|K01704|K01711|K01714|K01716|K01719|K01733|K01735|K01736|K01737|K01738|K01739|K01744|K01749|K01752|K01754|K01755|K01756|K01760|K01770|K01772|K01775|K01776|K01778|K01782|K01783|K01784|K01785|K01791|K01792|K01801|K01803|K01804|K01807|K01808|K01809|K01810|K01812|K01814|K01816|K01821|K01823|K01825|K01834|K01835|K01840|K01845|K01847|K01885|K01886|K01895|K01897|K01902|K01903|K01908|K01911|K01914|K01915|K01916|K01918|K01919|K01920|K01921|K01923|K01924|K01925|K01929|K01933|K01934|K01935|K01937|K01939|K01940|K01945|K01951|K01952|K01953|K01955|K01956|K01961|K01962|K01963|K02108|K02109|K02110|K02111|K02112|K02113|K02114|K02115|K02160|K02169|K02170|K02226|K02231|K02233|K02257|K02297|K02298|K02299|K02300|K02302|K02335|K02337|K02338|K02339|K02340|K02341|K02342|K02343|K02344|K02345|K02361|K02372|K02377|K02437|K02438|K02446|K02492|K02495|K02496|K02500|K02501|K02517|K02527|K02535|K02536|K02548|K02549|K02551|K02552|K02560|K02563|K02564|K02770|K02794|K02795|K02796|K02821|K02822|K02840|K02841|K02843|K02844|K02847|K02848|K02849|K02850|K02858|K03040|K03043|K03046|K03060|K03077|K03078|K03079|K03147|K03148|K03149|K03150|K03151|K03179|K03181|K03182|K03183|K03184|K03185|K03186|K03269|K03270|K03271|K03272|K03273|K03274|K03275|K03276|K03280|K03426|K03431|K03472|K03473|K03474|K03475|K03476|K03517|K03524|K03526|K03527|K03621|K03635|K03637|K03638|K03639|K03644|K03735|K03736|K03737|K03750|K03752|K03782|K03784|K03785|K03787|K03788|K03800|K03801|K03815|K03831|K03841|K04019|K04020|K04021|K04022|K04032|K04042|K04072|K04487|K04765|K05275|K05349|K05366|K05368|K05526|K05878|K05879|K05881|K05887|K06041|K06131|K06132|K06211|K06445|K06447|K06879|K06920|K06949|K07106|K07127|K07173|K07232|K07250|K07251|K07258|K07404|K07751|K08281|K08289|K08302|K08310|K08322|K08323|K08324|K08351|K08591|K08680|K08722|K08723|K09251|K09458|K09470|K09471|K09472|K09473|K09903|K09913|K10026|K11175|K11258|K11472|K11473|K11645|K11717|K11751|K11752|K11753|K11754|K11755|K12111|K12112|K12339|K12524|K12525|K12972|K13038|K13378|K13479|K13480|K13497|K13498|K13788|K13821|K13938|K13953|K13954|K14155|K14170|K14187|K14260|K14682|K15633|K15634|K16066|K16165|K16370|K16371|K16950|K16951|K17722|K17723|K18800|K19221|K19222|K19709|K19745|K20861|K20862|K20881|K21636
map01110	Biosynthesis of secondary metabolites	K00013|K00014|K00016|K00024|K00031|K00033|K00036|K00052|K00053|K00057|K00077|K00088|K00090|K00099|K00104|K00111|K00112|K00113|K00116|K00117|K00121|K00133|K00134|K00138|K00145|K00147|K00163|K00164|K00215|K00216|K00228|K00230|K00239|K00240|K00241|K00242|K00244|K00245|K00246|K00247|K00265|K00266|K00281|K00286|K00382|K00548|K00549|K00568|K00600|K00602|K00605|K00606|K00611|K00615|K00616|K00626|K00627|K00631|K00632|K00640|K00651|K00655|K00658|K00688|K00700|K00703|K00760|K00764|K00765|K00769|K00789|K00791|K00793|K00794|K00795|K00800|K00806|K00813|K00817|K00821|K00826|K00832|K00835|K00845|K00850|K00851|K00872|K00873|K00891|K00901|K00919|K00927|K00928|K00930|K00939|K00940|K00948|K00971|K00975|K00981|K00991|K00998|K01058|K01061|K01089|K01091|K01252|K01424|K01438|K01497|K01521|K01579|K01580|K01581|K01582|K01586|K01588|K01589|K01599|K01610|K01613|K01620|K01624|K01626|K01637|K01638|K01647|K01649|K01652|K01653|K01657|K01661|K01662|K01676|K01679|K01681|K01682|K01687|K01689|K01695|K01696|K01698|K01703|K01704|K01714|K01719|K01733|K01735|K01736|K01738|K01739|K01749|K01752|K01754|K01755|K01756|K01760|K01770|K01772|K01778|K01782|K01783|K01785|K01792|K01803|K01807|K01808|K01809|K01810|K01814|K01823|K01825|K01834|K01835|K01840|K01845|K01885|K01895|K01902|K01903|K01911|K01914|K01918|K01923|K01933|K01940|K01945|K01952|K01953|K01961|K01962|K01963|K02160|K02257|K02302|K02361|K02362|K02363|K02364|K02437|K02439|K02446|K02492|K02495|K02496|K02500|K02501|K02523|K02548|K02549|K02551|K02552|K02858|K03179|K03181|K03182|K03183|K03184|K03185|K03186|K03526|K03527|K03621|K03737|K03782|K03784|K03785|K03787|K03809|K03815|K03841|K04022|K04072|K05349|K05887|K07404|K08289|K08591|K08680|K08723|K09913|K11175|K11258|K11472|K11473|K11645|K11751|K11752|K11753|K11755|K12339|K12524|K12525|K12972|K13497|K13498|K13821|K13953|K13954|K14155|K14170|K14187|K14260|K14682|K15633|K15634|K16370|K18800|K19222|K20861|K20862|K20881
map01120	Microbial metabolism in diverse environments	K00016|K00024|K00029|K00031|K00033|K00036|K00048|K00058|K00087|K00090|K00104|K00116|K00121|K00123|K00124|K00127|K00133|K00134|K00135|K00138|K00163|K00164|K00215|K00239|K00240|K00241|K00242|K00244|K00245|K00246|K00247|K00265|K00266|K00275|K00297|K00362|K00363|K00370|K00371|K00374|K00380|K00381|K00382|K00385|K00390|K00450|K00600|K00615|K00616|K00626|K00627|K00632|K00640|K00656|K00658|K00674|K00821|K00823|K00831|K00845|K00850|K00851|K00855|K00860|K00865|K00872|K00873|K00874|K00879|K00881|K00925|K00926|K00927|K00928|K00948|K00956|K00957|K01007|K01011|K01026|K01034|K01035|K01061|K01070|K01079|K01082|K01085|K01439|K01491|K01512|K01580|K01586|K01595|K01610|K01612|K01620|K01624|K01625|K01628|K01637|K01638|K01647|K01676|K01679|K01681|K01682|K01689|K01690|K01698|K01714|K01719|K01733|K01734|K01738|K01749|K01778|K01782|K01783|K01785|K01792|K01801|K01803|K01807|K01808|K01810|K01818|K01821|K01825|K01834|K01835|K01845|K01847|K01885|K01895|K01902|K01903|K01915|K01961|K01962|K01963|K02160|K02302|K02439|K02446|K02492|K02496|K02567|K02568|K02770|K02821|K02822|K03077|K03078|K03079|K03186|K03385|K03475|K03476|K03562|K03737|K03777|K03778|K03841|K04021|K04022|K04072|K05275|K05523|K06193|K06281|K06282|K07127|K07250|K07404|K08324|K08353|K08354|K10678|K10679|K10680|K11472|K11473|K11645|K12339|K12524|K12525|K12660|K12661|K12972|K13479|K13480|K13788|K13953|K13954|K15633|K15634|K16044|K16165|K16370|K16950|K16951|K17195|K19709|K20866|K21759|K22270
map01130	Biosynthesis of antibiotics	K00014|K00016|K00024|K00031|K00033|K00036|K00053|K00058|K00059|K00067|K00099|K00104|K00116|K00117|K00121|K00133|K00134|K00145|K00147|K00163|K00164|K00208|K00215|K00216|K00239|K00240|K00241|K00242|K00244|K00245|K00246|K00247|K00265|K00266|K00281|K00286|K00382|K00600|K00602|K00605|K00611|K00615|K00616|K00626|K00627|K00632|K00645|K00651|K00658|K00764|K00795|K00800|K00813|K00817|K00820|K00821|K00826|K00831|K00832|K00835|K00845|K00850|K00851|K00865|K00873|K00891|K00919|K00927|K00928|K00930|K00931|K00939|K00940|K00948|K00956|K00957|K00963|K00973|K00991|K01061|K01079|K01082|K01091|K01252|K01438|K01443|K01581|K01586|K01588|K01589|K01610|K01620|K01624|K01626|K01647|K01652|K01653|K01657|K01662|K01676|K01679|K01681|K01682|K01687|K01689|K01695|K01696|K01710|K01714|K01735|K01736|K01738|K01739|K01752|K01754|K01755|K01756|K01770|K01778|K01782|K01783|K01785|K01790|K01792|K01803|K01807|K01808|K01809|K01810|K01823|K01825|K01834|K01835|K01840|K01895|K01902|K01903|K01923|K01933|K01940|K01945|K01952|K01961|K01962|K01963|K02078|K02160|K02361|K02362|K02363|K02364|K02437|K02446|K02552|K03431|K03526|K03527|K03737|K03785|K03823|K03841|K04022|K04042|K04072|K05887|K07404|K08289|K11175|K11258|K11472|K11473|K11645|K12339|K12524|K12525|K13497|K13498|K13821|K13953|K13954|K14170|K14187|K14260|K14682|K15633|K15634|K16370
map01200	Carbon metabolism	K00024|K00027|K00029|K00031|K00033|K00036|K00058|K00116|K00121|K00123|K00124|K00127|K00134|K00163|K00164|K00239|K00240|K00241|K00242|K00244|K00245|K00246|K00247|K00281|K00297|K00382|K00600|K00605|K00615|K00616|K00626|K00627|K00640|K00658|K00831|K00845|K00850|K00851|K00855|K00873|K00874|K00925|K00926|K00927|K00948|K01007|K01070|K01079|K01491|K01595|K01610|K01624|K01625|K01637|K01638|K01647|K01676|K01679|K01681|K01682|K01689|K01690|K01715|K01738|K01752|K01754|K01782|K01783|K01803|K01807|K01808|K01810|K01825|K01834|K01847|K01895|K01902|K01903|K01961|K01962|K01963|K02160|K02437|K02446|K03737|K03841|K07404|K11645|K12339|K13788|K15633|K15634|K16370
map01210	2-Oxocarboxylic acid metabolism	K00031|K00052|K00053|K00133|K00145|K00813|K00821|K00826|K00928|K00930|K01438|K01647|K01649|K01652|K01653|K01681|K01682|K01687|K01703|K01704|K11258|K14260|K14682
map01212	Fatty acid metabolism	K00059|K00208|K00626|K00632|K00645|K00647|K00648|K01716|K01782|K01825|K01897|K01961|K01962|K01963|K02160|K02372|K06445|K09458
map01220	Degradation of aromatic compounds	K00121|K01612|K01821|K03186|K04072|K13953|K13954|K21759
